onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	1.731	RhymeSpell/took.WAV	RhymeSpell/spook.WAV
4.443	4.443	2	1	1.644	RhymeSpell/quo.WAV	RhymeSpell/glow.WAV
8.886	4.443	5	0	0.926	Tones/675.WAV	Tones/600.WAV
13.329	4.443	0	1	1.375	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.772	4.442	3	0	1.182	RhymeSpell/seat.WAV	RhymeSpell/threat.WAV
22.214	4.443	0	1	0.897	Tones/nullsilence.WAV	Tones/nullsilence.WAV
26.657	4.443	5	1	1.184	Tones/600.WAV	Tones/600.WAV
31.1	4.443	5	1	1.064	Tones/325.WAV	Tones/325.WAV
35.543	4.443	1	1	1.904	RhymeSpell/car.WAV	RhymeSpell/star.WAV
39.986	4.443	0	1	0.93	Tones/nullsilence.WAV	Tones/nullsilence.WAV
44.429	4.442	3	0	1.017	RhymeSpell/flash.WAV	RhymeSpell/wash.WAV
48.871	4.443	6	1	0.984	Tones/425600750.WAV	Tones/425600750.WAV
53.314	4.443	0	1	0.929	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.757	4.443	0	1	0.587	Tones/nullsilence.WAV	Tones/nullsilence.WAV
62.2	4.443	4	1	1.426	RhymeSpell/name.WAV	RhymeSpell/knee.WAV
66.643	4.443	4	1	2.043	RhymeSpell/cap.WAV	RhymeSpell/north.WAV
71.086	4.442	0	1	1.179	Tones/nullsilence.WAV	Tones/nullsilence.WAV
75.528	4.443	6	0	1.335	Tones/550800525.WAV	Tones/550800600.WAV
79.971	4.444	6	1	0.992	Tones/350825400.WAV	Tones/425825400.WAV
84.415	4.442	0	1	1.24	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.857	4.443	1	1	1.682	RhymeSpell/page.WAV	RhymeSpell/stage.WAV
93.3	4.443	2	0	2.677	RhymeSpell/woe.WAV	RhymeSpell/show.WAV
97.743	4.442	0	1	2.509	Tones/nullsilence.WAV	Tones/nullsilence.WAV
102.185	4.443	4	0	1.076	RhymeSpell/scheme.WAV	RhymeSpell/saint.WAV
106.628	4.443	2	0	2.565	RhymeSpell/foe.WAV	RhymeSpell/stow.WAV
111.071	4.443	0	1	2.406	Tones/nullsilence.WAV	Tones/nullsilence.WAV
115.514	4.443	6	1	1.205	Tones/650475300.WAV	Tones/650475300.WAV
119.957	4.443	6	1	0.95	Tones/425675500.WAV	Tones/425750500.WAV
124.4	4.443	0	1	1.23	Tones/nullsilence.WAV	Tones/nullsilence.WAV
128.843	4.442	5	0	1.238	Tones/350.WAV	Tones/425.WAV
133.285	4.443	0	1	1.444	Tones/nullsilence.WAV	Tones/nullsilence.WAV
137.728	4.443	2	0	1.041	RhymeSpell/weird.WAV	RhymeSpell/beard.WAV
142.171	4.443	1	1	1.347	RhymeSpell/cage.WAV	RhymeSpell/rage.WAV
146.614	4.443	3	0	1.694	RhymeSpell/grand.WAV	RhymeSpell/wand.WAV
151.057	4.443	6	1	1.208	Tones/875575325.WAV	Tones/875575400.WAV
155.5	4.442	3	0	1.128	RhymeSpell/breast.WAV	RhymeSpell/feast.WAV
159.942	4.443	0	1	1.508	Tones/nullsilence.WAV	Tones/nullsilence.WAV
164.385	4.443	5	1	1.502	Tones/850.WAV	Tones/850.WAV
168.828	4.443	0	1	1.238	Tones/nullsilence.WAV	Tones/nullsilence.WAV
173.271	4.443	6	0	1.328	Tones/725400775.WAV	Tones/650400775.WAV
177.714	4.443	2	1	3.097	RhymeSpell/plea.WAV	RhymeSpell/key.WAV
182.157	4.442	4	0	1.383	RhymeSpell/boom.WAV	RhymeSpell/past.WAV
186.599	4.443	5	1	1.027	Tones/775.WAV	Tones/700.WAV
191.042	4.443	0	1	1.095	Tones/nullsilence.WAV	Tones/nullsilence.WAV
195.485	4.443	0	1	1.147	Tones/nullsilence.WAV	Tones/nullsilence.WAV
199.928	4.443	4	1	1.52	RhymeSpell/brass.WAV	RhymeSpell/gut.WAV
