onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	1.204	Semantic/handle.WAV	Semantic/depth.WAV
4.443	4.442	2	1	1.547	Semantic/yarn.WAV	Semantic/knit.WAV
8.885	4.443	3	1	1.135	Semantic/dessert.WAV	Semantic/bony.WAV
13.328	4.443	0	1	1.099	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.771	4.443	2	1	1.147	Semantic/dish.WAV	Semantic/plate.WAV
22.214	4.443	4	1	1.027	Tones/675.WAV	Tones/600.WAV
26.657	4.443	0	1	1.856	Tones/nullsilence.WAV	Tones/nullsilence.WAV
31.1	4.442	4	1	0.94	Tones/600.WAV	Tones/600.WAV
35.542	4.443	4	1	0.971	Tones/325.WAV	Tones/325.WAV
39.985	4.443	4	1	1.221	Tones/350.WAV	Tones/425.WAV
44.428	4.443	0	1	1.8	Tones/nullsilence.WAV	Tones/nullsilence.WAV
48.871	4.443	4	1	1.572	Tones/850.WAV	Tones/850.WAV
53.314	4.443	0	1	2.037	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.757	4.442	3	1	0.893	Semantic/flush.WAV	Semantic/cliff.WAV
62.199	4.443	0	1	1.153	Tones/nullsilence.WAV	Tones/nullsilence.WAV
66.642	4.443	1	1	0.977	Semantic/ape.WAV	Semantic/monkey.WAV
71.085	4.443	1	1	1.756	Semantic/spoon.WAV	Semantic/fork.WAV
75.528	4.443	0	1	2.546	Tones/nullsilence.WAV	Tones/nullsilence.WAV
79.971	4.443	1	0	2.184	Semantic/awake.WAV	Semantic/asleep.WAV
84.414	4.442	0	1	3.277	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.856	4.443	2	1	2.093	Semantic/senate.WAV	Semantic/congress.WAV
93.299	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
97.742	4.443	3	1	2.225	Semantic/steam.WAV	Semantic/gap.WAV
102.185	4.443	0	1	2.366	Tones/nullsilence.WAV	Tones/nullsilence.WAV
106.628	4.443	2	1	1.659	Semantic/checkers.WAV	Semantic/chess.WAV
111.071	4.443	5	1	1.113	Tones/425600750.WAV	Tones/425600750.WAV
115.514	4.442	0	1	2.598	Tones/nullsilence.WAV	Tones/nullsilence.WAV
119.956	4.443	1	1	1.29	Semantic/rodent.WAV	Semantic/rat.WAV
124.399	4.443	2	1	0.974	Semantic/robber.WAV	Semantic/thief.WAV
128.842	4.443	3	1	1.036	Semantic/bone.WAV	Semantic/mountain.WAV
133.285	4.443	4	1	1.522	Tones/775.WAV	Tones/700.WAV
137.728	4.443	2	1	1.294	Semantic/purse.WAV	Semantic/wallet.WAV
142.171	4.442	0	1	1.627	Tones/nullsilence.WAV	Tones/nullsilence.WAV
146.613	4.443	2	0	1.258	Semantic/sunny.WAV	Semantic/cloudy.WAV
151.056	4.443	2	1	1.408	Semantic/hide.WAV	Semantic/seek.WAV
155.499	4.443	0	1	1.565	Tones/nullsilence.WAV	Tones/nullsilence.WAV
159.942	4.443	1	1	0.919	Semantic/mom.WAV	Semantic/dad.WAV
164.385	4.459	4	1	1.004	Tones/625.WAV	Tones/625.WAV
168.844	4.443	3	1	1.092	Semantic/joke.WAV	Semantic/chart.WAV
173.287	4.443	3	1	1.981	Semantic/heavy.WAV	Semantic/wish.WAV
177.73	4.442	3	1	1.179	Semantic/plug.WAV	Semantic/belly.WAV
182.172	4.443	0	1	1.871	Tones/nullsilence.WAV	Tones/nullsilence.WAV
186.615	4.443	3	0	2.678	Semantic/steer.WAV	Semantic/toss.WAV
191.058	4.443	2	1	1.113	Semantic/minus.WAV	Semantic/subtract.WAV
195.501	4.443	0	1	0.655	Tones/nullsilence.WAV	Tones/nullsilence.WAV
199.944	4.443	4	1	1.09	Tones/800.WAV	Tones/800.WAV
204.387	4.442	2	1	1.963	Semantic/fingers.WAV	Semantic/hands.WAV
208.829	4.443	4	1	0.99	Tones/375.WAV	Tones/450.WAV
213.272	4.443	0	1	2.231	Tones/nullsilence.WAV	Tones/nullsilence.WAV
