onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	2	1	1.285	RhymeSpell/crawl.bmp	RhymeSpell/ball1.bmp
4.443	4.443	2	1	1.343	RhymeSpell/moan.bmp	RhymeSpell/bone1.bmp
8.886	4.443	0	1	1.353	RhymeSpell/null.bmp	RhymeSpell/null.bmp
13.329	4.442	3	1	1.758	RhymeSpell/harm.bmp	RhymeSpell/warm2.bmp
17.771	4.443	0	1	1.59	RhymeSpell/null.bmp	RhymeSpell/null.bmp
22.214	4.443	3	1	1.37	RhymeSpell/dull.bmp	RhymeSpell/pull2.bmp
26.657	4.443	5	1	1.242	Symbols/m.bmp	Symbols/m2.bmp
31.1	4.443	1	1	1.344	RhymeSpell/dime.bmp	RhymeSpell/lime1.bmp
35.543	4.443	0	1	1.338	RhymeSpell/null.bmp	RhymeSpell/null.bmp
39.986	4.442	1	1	1.313	RhymeSpell/thread.bmp	RhymeSpell/dread2.bmp
44.428	4.443	4	1	1.29	RhymeSpell/dash.bmp	RhymeSpell/brow1.bmp
48.871	4.443	2	1	1.573	RhymeSpell/though.bmp	RhymeSpell/blow2.bmp
53.314	4.443	2	1	1.714	RhymeSpell/greet.bmp	RhymeSpell/neat1.bmp
57.757	4.443	0	1	1.53	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	1	1	1.465	RhymeSpell/mad.bmp	RhymeSpell/pad2.bmp
66.643	4.442	0	1	1.446	RhymeSpell/null.bmp	RhymeSpell/null.bmp
71.085	4.443	5	1	1.499	Symbols/z.bmp	Symbols/t1.bmp
75.528	4.443	0	1	1.57	RhymeSpell/null.bmp	RhymeSpell/null.bmp
79.971	4.443	3	1	1.483	RhymeSpell/tough.bmp	RhymeSpell/cough2.bmp
84.414	4.443	6	1	1.441	Symbols/lfa.bmp	Symbols/lfa1.bmp
88.857	4.443	1	1	1.461	RhymeSpell/drum.bmp	RhymeSpell/gum1.bmp
93.3	4.443	0	1	1.521	RhymeSpell/null.bmp	RhymeSpell/null.bmp
97.743	4.442	5	1	1.308	Symbols/j.bmp	Symbols/o1.bmp
102.185	4.443	5	1	1.295	Symbols/b.bmp	Symbols/b2.bmp
106.628	4.443	2	1	1.535	RhymeSpell/comb.bmp	RhymeSpell/chrome2.bmp
111.071	4.443	0	1	1.503	RhymeSpell/null.bmp	RhymeSpell/null.bmp
115.514	4.443	3	1	1.418	RhymeSpell/couch.bmp	RhymeSpell/touch1.bmp
119.957	4.443	0	1	1.535	RhymeSpell/null.bmp	RhymeSpell/null.bmp
124.4	4.442	6	1	1.542	Symbols/zti.bmp	Symbols/zvi1.bmp
128.842	4.443	0	1	1.501	RhymeSpell/null.bmp	RhymeSpell/null.bmp
133.285	4.443	3	0	1.394	RhymeSpell/gull.bmp	RhymeSpell/bull2.bmp
137.728	4.443	4	1	1.527	RhymeSpell/goes.bmp	RhymeSpell/lap2.bmp
142.171	4.443	5	1	1.306	Symbols/y.bmp	Symbols/y1.bmp
146.614	4.443	1	1	1.502	RhymeSpell/pay.bmp	RhymeSpell/play2.bmp
151.057	4.442	0	1	1.43	RhymeSpell/null.bmp	RhymeSpell/null.bmp
155.499	4.443	4	1	1.498	RhymeSpell/staff.bmp	RhymeSpell/gain2.bmp
159.942	4.443	5	1	1.52	Symbols/a.bmp	Symbols/a1.bmp
164.385	4.443	0	1	1.488	RhymeSpell/null.bmp	RhymeSpell/null.bmp
168.828	4.443	4	1	1.471	RhymeSpell/scale.bmp	RhymeSpell/fly2.bmp
173.271	4.443	0	1	1.601	RhymeSpell/null.bmp	RhymeSpell/null.bmp
177.714	4.442	6	1	1.41	Symbols/drp.bmp	Symbols/drn1.bmp
182.156	4.443	0	1	1.735	RhymeSpell/null.bmp	RhymeSpell/null.bmp
186.599	4.443	1	1	1.481	RhymeSpell/hint.bmp	RhymeSpell/print1.bmp
191.042	4.443	0	1	1.866	RhymeSpell/null.bmp	RhymeSpell/null.bmp
195.485	4.443	6	1	1.508	Symbols/ntv.bmp	Symbols/ntv2.bmp
199.928	4.443	0	1	1.809	RhymeSpell/null.bmp	RhymeSpell/null.bmp
204.371	4.443	5	1	1.335	Symbols/e.bmp	Symbols/e1.bmp
208.814	4.442	0	1	1.456	RhymeSpell/null.bmp	RhymeSpell/null.bmp
