onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	1.644	Semantic/system.bmp	Semantic/head2.bmp
4.443	4.443	2	1	1.419	Semantic/speak.bmp	Semantic/talk2.bmp
8.886	4.443	3	1	2.155	Semantic/cobra.bmp	Semantic/slipper2.bmp
13.329	4.443	0	1	1.155	Semantic/null.bmp	Semantic/null.bmp
17.772	4.442	2	1	2.168	Semantic/distance.bmp	Semantic/mile1.bmp
22.214	4.443	4	1	1.365	Symbols/t.bmp	Symbols/g2.bmp
26.657	4.443	0	1	1.098	Semantic/null.bmp	Semantic/null.bmp
31.1	4.443	4	1	0.95	Symbols/w.bmp	Symbols/w2.bmp
35.543	4.443	4	1	1.45	Symbols/u.bmp	Symbols/u2.bmp
39.986	4.443	4	1	1.21	Symbols/s.bmp	Symbols/j2.bmp
44.429	4.442	0	1	1.262	Semantic/null.bmp	Semantic/null.bmp
48.871	4.443	4	1	1.672	Symbols/l.bmp	Symbols/l2.bmp
53.314	4.443	0	1	2.03	Semantic/null.bmp	Semantic/null.bmp
57.757	4.443	3	0	2.036	Semantic/chill.bmp	Semantic/hawk2.bmp
62.2	4.443	0	1	1.94	Semantic/null.bmp	Semantic/null.bmp
66.643	4.443	1	1	2.764	Semantic/thin.bmp	Semantic/fat2.bmp
71.086	4.443	1	1	2.865	Semantic/sketch.bmp	Semantic/draw2.bmp
75.529	4.442	0	0	n/a	Semantic/null.bmp	Semantic/null.bmp
79.971	4.443	1	1	0.792	Semantic/dog.bmp	Semantic/cat1.bmp
84.414	4.443	0	1	1.695	Semantic/null.bmp	Semantic/null.bmp
88.857	4.443	2	1	1.964	Semantic/guide.bmp	Semantic/tour2.bmp
93.3	4.443	0	1	1.412	Semantic/null.bmp	Semantic/null.bmp
97.743	4.443	3	1	1.999	Semantic/adult.bmp	Semantic/pond1.bmp
102.186	4.442	0	1	1.487	Semantic/null.bmp	Semantic/null.bmp
106.628	4.443	2	1	1.727	Semantic/reef.bmp	Semantic/coral1.bmp
111.071	4.443	5	1	1.746	Symbols/mfc.bmp	Symbols/mfc1.bmp
115.514	4.443	0	1	2.221	Semantic/null.bmp	Semantic/null.bmp
119.957	4.443	1	0	2.431	Semantic/little.bmp	Semantic/big1.bmp
124.4	4.443	2	1	1.457	Semantic/motion.bmp	Semantic/movement2.bmp
128.843	4.442	3	1	1.677	Semantic/hoof.bmp	Semantic/stitch2.bmp
133.285	4.443	4	1	1.737	Symbols/c.bmp	Symbols/v1.bmp
137.728	4.443	2	1	1.721	Semantic/salad.bmp	Semantic/lettuce1.bmp
142.171	4.443	0	1	1.198	Semantic/null.bmp	Semantic/null.bmp
146.614	4.443	2	1	0.815	Semantic/lip.bmp	Semantic/kiss1.bmp
151.057	4.443	2	1	2.832	Semantic/shout.bmp	Semantic/yell1.bmp
155.5	4.443	0	1	2.388	Semantic/null.bmp	Semantic/null.bmp
159.943	4.442	1	1	0.938	Semantic/dime.bmp	Semantic/nickel1.bmp
164.385	4.443	4	0	1.34	Symbols/n.bmp	Symbols/n1.bmp
168.828	4.443	3	1	1.254	Semantic/cream.bmp	Semantic/grip2.bmp
173.271	4.443	3	0	1.668	Semantic/trust.bmp	Semantic/dozen1.bmp
177.714	4.443	3	1	1.064	Semantic/sailing.bmp	Semantic/nest2.bmp
182.157	4.443	0	1	1.403	Semantic/null.bmp	Semantic/null.bmp
186.6	4.442	3	1	1.217	Semantic/pigeon.bmp	Semantic/gamble2.bmp
191.042	4.443	2	1	1.386	Semantic/maple.bmp	Semantic/syrup2.bmp
195.485	4.443	0	1	1.282	Semantic/null.bmp	Semantic/null.bmp
199.928	4.443	4	1	2.223	Symbols/i.bmp	Symbols/i2.bmp
204.371	4.443	2	1	1.338	Semantic/hop.bmp	Semantic/skip1.bmp
208.814	4.443	4	1	1.176	Symbols/r.bmp	Symbols/z2.bmp
213.257	4.442	0	1	1.481	Semantic/null.bmp	Semantic/null.bmp
217.699	4.443	5	0	n/a	Symbols/crs.bmp	Symbols/cre2.bmp
222.142	4.443	0	1	2.013	Semantic/null.bmp	Semantic/null.bmp
226.585	4.443	4	1	1.161	Symbols/p.bmp	Symbols/s1.bmp
231.028	4.443	0	1	2.42	Semantic/null.bmp	Semantic/null.bmp
235.471	4.443	3	0	n/a	Semantic/blanket.bmp	Semantic/split2.bmp
239.914	4.443	0	0	1.379	Semantic/null.bmp	Semantic/null.bmp
244.357	4.442	1	1	2.719	Semantic/yours.bmp	Semantic/mine1.bmp
248.799	4.443	0	1	1.755	Semantic/null.bmp	Semantic/null.bmp
253.242	4.443	3	1	1.714	Semantic/corn.bmp	Semantic/blame1.bmp
257.685	4.443	3	1	1.599	Semantic/hunter.bmp	Semantic/lemon2.bmp
262.128	4.443	0	1	1.8	Semantic/null.bmp	Semantic/null.bmp
266.571	4.443	5	1	1.14	Symbols/pcf.bmp	Symbols/kcf2.bmp
271.014	4.442	5	0	0.784	Symbols/van.bmp	Symbols/van2.bmp
275.456	4.443	1	1	1.396	Semantic/prison.bmp	Semantic/jail2.bmp
279.899	4.443	2	1	1.182	Semantic/hoot.bmp	Semantic/owl2.bmp
284.342	4.443	5	1	1.109	Symbols/jzd.bmp	Symbols/jbd2.bmp
288.785	4.443	0	1	1.331	Semantic/null.bmp	Semantic/null.bmp
293.228	4.443	4	1	1.44	Symbols/v.bmp	Symbols/h1.bmp
297.671	4.442	0	1	1.327	Semantic/null.bmp	Semantic/null.bmp
302.113	4.443	2	1	0.974	Semantic/water.bmp	Semantic/drink2.bmp
306.556	4.443	0	1	1.34	Semantic/null.bmp	Semantic/null.bmp
310.999	4.443	1	1	1.629	Semantic/table.bmp	Semantic/chair1.bmp
315.442	4.443	0	0	n/a	Semantic/null.bmp	Semantic/null.bmp
319.885	4.443	1	0	1.743	Semantic/vine.bmp	Semantic/grape2.bmp
324.328	4.443	0	1	1.831	Semantic/null.bmp	Semantic/null.bmp
328.771	4.442	2	1	1.76	Semantic/throw.bmp	Semantic/catch1.bmp
333.213	4.443	4	1	1.01	Symbols/h.bmp	Symbols/c2.bmp
337.656	4.443	0	1	1.048	Semantic/null.bmp	Semantic/null.bmp
342.099	4.443	3	1	1.313	Semantic/able.bmp	Semantic/party2.bmp
346.542	4.443	5	0	1.775	Symbols/ksg.bmp	Symbols/ksj2.bmp
350.985	4.443	5	1	0.999	Symbols/uab.bmp	Symbols/iab1.bmp
355.428	4.442	1	1	1.972	Semantic/lend.bmp	Semantic/borrow1.bmp
359.87	4.443	0	1	1.3	Semantic/null.bmp	Semantic/null.bmp
364.313	4.443	1	1	1.719	Semantic/silver.bmp	Semantic/gold2.bmp
368.756	4.443	0	1	1.335	Semantic/null.bmp	Semantic/null.bmp
373.199	4.443	4	1	1.228	Symbols/m.bmp	Symbols/m2.bmp
377.642	4.443	5	1	1.454	Symbols/upw.bmp	Symbols/upw1.bmp
382.085	4.442	5	0	0.905	Symbols/myh.bmp	Symbols/myl1.bmp
386.527	4.443	0	1	1.253	Semantic/null.bmp	Semantic/null.bmp
390.97	4.443	5	1	1.747	Symbols/hio.bmp	Symbols/hio2.bmp
395.413	4.443	5	1	1.861	Symbols/mey.bmp	Symbols/mey2.bmp
399.856	4.439	0	1	1.41	Semantic/null.bmp	Semantic/null.bmp
