onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	2	1	1.03	RhymeSpell/stroll.bmp	RhymeSpell/bowl1.bmp
4.443	4.443	2	1	1.48	RhymeSpell/shed.bmp	RhymeSpell/tread1.bmp
8.886	4.442	0	1	1.134	RhymeSpell/null.bmp	RhymeSpell/null.bmp
13.328	4.443	3	1	1.434	RhymeSpell/cove.bmp	RhymeSpell/prove2.bmp
17.771	4.444	0	1	1.073	RhymeSpell/null.bmp	RhymeSpell/null.bmp
22.215	4.442	3	1	1.584	RhymeSpell/climb.bmp	RhymeSpell/limb1.bmp
26.657	4.443	5	1	1.357	Symbols/m.bmp	Symbols/m2.bmp
31.1	4.443	1	0	1.244	RhymeSpell/class.bmp	RhymeSpell/mass2.bmp
35.543	4.443	0	1	1.07	RhymeSpell/null.bmp	RhymeSpell/null.bmp
39.986	4.442	1	1	1.358	RhymeSpell/brain.bmp	RhymeSpell/train2.bmp
44.428	4.443	4	1	0.939	RhymeSpell/norm.bmp	RhymeSpell/group1.bmp
48.871	4.443	2	0	1.485	RhymeSpell/caught.bmp	RhymeSpell/bought2.bmp
53.314	4.443	2	1	1.161	RhymeSpell/putt.bmp	RhymeSpell/cut2.bmp
57.757	4.443	0	1	1.185	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	1	1	1.174	RhymeSpell/nod.bmp	RhymeSpell/rod1.bmp
66.643	4.442	0	1	1.451	RhymeSpell/null.bmp	RhymeSpell/null.bmp
71.085	4.443	5	1	1.167	Symbols/z.bmp	Symbols/t1.bmp
75.528	4.443	0	1	1.127	RhymeSpell/null.bmp	RhymeSpell/null.bmp
79.971	4.443	3	1	1.435	RhymeSpell/hatch.bmp	RhymeSpell/watch2.bmp
84.414	4.443	6	1	1.335	Symbols/lfa.bmp	Symbols/lfa1.bmp
88.857	4.443	1	1	1.213	RhymeSpell/mark.bmp	RhymeSpell/park1.bmp
93.3	4.442	0	1	1.131	RhymeSpell/null.bmp	RhymeSpell/null.bmp
97.742	4.443	5	1	1.138	Symbols/j.bmp	Symbols/o1.bmp
102.185	4.443	5	0	1.595	Symbols/b.bmp	Symbols/b2.bmp
106.628	4.443	2	1	2.026	RhymeSpell/stuff.bmp	RhymeSpell/rough1.bmp
111.071	4.443	0	1	2.41	RhymeSpell/null.bmp	RhymeSpell/null.bmp
115.514	4.443	3	0	1.543	RhymeSpell/cheat.bmp	RhymeSpell/sweat1.bmp
