onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	1.728	RhymeSpell/took.bmp	RhymeSpell/spook2.bmp
4.443	4.442	2	1	0.853	RhymeSpell/quo.bmp	RhymeSpell/glow1.bmp
8.885	4.443	5	1	1.349	Symbols/t.bmp	Symbols/g2.bmp
13.328	4.443	0	1	0.854	RhymeSpell/null.bmp	RhymeSpell/null.bmp
17.771	4.443	3	0	1.804	RhymeSpell/seat.bmp	RhymeSpell/threat1.bmp
22.214	4.443	0	1	1.561	RhymeSpell/null.bmp	RhymeSpell/null.bmp
26.657	4.443	5	1	0.998	Symbols/w.bmp	Symbols/w2.bmp
31.1	4.442	5	1	1.303	Symbols/u.bmp	Symbols/u2.bmp
35.542	4.443	1	0	1.208	RhymeSpell/car.bmp	RhymeSpell/star2.bmp
39.985	4.443	0	1	0.992	RhymeSpell/null.bmp	RhymeSpell/null.bmp
44.428	4.443	3	0	2.02	RhymeSpell/flash.bmp	RhymeSpell/wash1.bmp
48.871	4.443	6	1	1.221	Symbols/mfc.bmp	Symbols/mfc1.bmp
53.314	4.443	0	1	1.374	RhymeSpell/null.bmp	RhymeSpell/null.bmp
57.757	4.442	0	1	1.568	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.199	4.443	4	1	1.063	RhymeSpell/name.bmp	RhymeSpell/knee2.bmp
66.642	4.443	4	1	1.778	RhymeSpell/cap.bmp	RhymeSpell/north2.bmp
71.085	4.443	0	1	1.527	RhymeSpell/null.bmp	RhymeSpell/null.bmp
75.528	4.443	6	1	2.219	Symbols/crs.bmp	Symbols/cre2.bmp
79.971	4.443	6	0	1.143	Symbols/pcf.bmp	Symbols/kcf2.bmp
84.414	4.442	0	1	1.119	RhymeSpell/null.bmp	RhymeSpell/null.bmp
88.856	4.443	1	1	1.457	RhymeSpell/page.bmp	RhymeSpell/stage2.bmp
93.299	4.443	2	0	1.85	RhymeSpell/woe.bmp	RhymeSpell/show2.bmp
97.742	4.443	0	1	1.09	RhymeSpell/null.bmp	RhymeSpell/null.bmp
102.185	4.443	4	1	1.025	RhymeSpell/scheme.bmp	RhymeSpell/saint1.bmp
106.628	4.443	2	1	1.608	RhymeSpell/foe.bmp	RhymeSpell/stow2.bmp
111.071	4.443	0	1	1.852	RhymeSpell/null.bmp	RhymeSpell/null.bmp
115.514	4.442	6	1	0.779	Symbols/van.bmp	Symbols/van2.bmp
119.956	4.443	6	1	1.159	Symbols/jzd.bmp	Symbols/jbd2.bmp
124.399	4.443	0	1	1.449	RhymeSpell/null.bmp	RhymeSpell/null.bmp
128.842	4.443	5	1	0.74	Symbols/s.bmp	Symbols/j2.bmp
133.285	4.443	0	1	1.439	RhymeSpell/null.bmp	RhymeSpell/null.bmp
137.728	4.443	2	1	3.197	RhymeSpell/weird.bmp	RhymeSpell/beard1.bmp
142.171	4.442	1	1	0.932	RhymeSpell/cage.bmp	RhymeSpell/rage1.bmp
146.613	4.443	3	1	1.296	RhymeSpell/grand.bmp	RhymeSpell/wand2.bmp
