onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	0.917	Semantic/system.bmp	Semantic/head2.bmp
4.443	4.443	2	1	0.884	Semantic/speak.bmp	Semantic/talk2.bmp
8.886	4.443	3	1	0.954	Semantic/cobra.bmp	Semantic/slipper2.bmp
13.329	4.442	0	1	0.911	Semantic/null.bmp	Semantic/null.bmp
17.771	4.443	2	1	0.907	Semantic/distance.bmp	Semantic/mile1.bmp
22.214	4.443	4	1	0.986	Symbols/t.bmp	Symbols/g2.bmp
26.657	4.443	0	1	0.919	Semantic/null.bmp	Semantic/null.bmp
31.1	4.443	4	1	0.969	Symbols/w.bmp	Symbols/w2.bmp
35.543	4.443	4	1	0.958	Symbols/u.bmp	Symbols/u2.bmp
39.986	4.442	4	1	0.884	Symbols/s.bmp	Symbols/j2.bmp
44.428	4.443	0	1	0.786	Semantic/null.bmp	Semantic/null.bmp
48.871	4.443	4	1	0.865	Symbols/l.bmp	Symbols/l2.bmp
53.314	4.443	0	1	0.924	Semantic/null.bmp	Semantic/null.bmp
57.757	4.443	3	1	1.044	Semantic/chill.bmp	Semantic/hawk2.bmp
62.2	4.443	0	1	0.127	Semantic/null.bmp	Semantic/null.bmp
66.643	4.442	1	1	0.88	Semantic/thin.bmp	Semantic/fat2.bmp
71.085	4.443	1	1	0.975	Semantic/sketch.bmp	Semantic/draw2.bmp
75.528	4.443	0	1	0.926	Semantic/null.bmp	Semantic/null.bmp
79.971	4.443	1	1	0.977	Semantic/dog.bmp	Semantic/cat1.bmp
84.414	4.443	0	1	0.943	Semantic/null.bmp	Semantic/null.bmp
88.857	4.443	2	1	0.933	Semantic/guide.bmp	Semantic/tour2.bmp
93.3	4.443	0	1	0.795	Semantic/null.bmp	Semantic/null.bmp
97.743	4.442	3	1	0.955	Semantic/adult.bmp	Semantic/pond1.bmp
102.185	4.443	0	1	0.861	Semantic/null.bmp	Semantic/null.bmp
106.628	4.443	2	1	0.926	Semantic/reef.bmp	Semantic/coral1.bmp
111.071	4.443	5	1	1.007	Symbols/mfc.bmp	Symbols/mfc1.bmp
115.514	4.443	0	1	0.001	Semantic/null.bmp	Semantic/null.bmp
119.957	4.443	1	1	1.071	Semantic/little.bmp	Semantic/big1.bmp
124.4	4.442	2	1	0.906	Semantic/motion.bmp	Semantic/movement2.bmp
128.842	4.443	3	1	0.911	Semantic/hoof.bmp	Semantic/stitch2.bmp
133.285	4.443	4	1	0.971	Symbols/c.bmp	Symbols/v1.bmp
137.728	4.443	2	1	1.041	Semantic/salad.bmp	Semantic/lettuce1.bmp
142.171	4.443	0	1	1.006	Semantic/null.bmp	Semantic/null.bmp
146.614	4.443	2	1	1.023	Semantic/lip.bmp	Semantic/kiss1.bmp
151.057	4.442	2	1	1.044	Semantic/shout.bmp	Semantic/yell1.bmp
155.499	4.443	0	1	0.879	Semantic/null.bmp	Semantic/null.bmp
159.942	4.443	1	1	1.051	Semantic/dime.bmp	Semantic/nickel1.bmp
164.385	4.443	4	1	1.041	Symbols/n.bmp	Symbols/n1.bmp
168.828	4.443	3	1	1.053	Semantic/cream.bmp	Semantic/grip2.bmp
173.271	4.443	3	1	1.179	Semantic/trust.bmp	Semantic/dozen1.bmp
177.714	4.443	3	1	0.924	Semantic/sailing.bmp	Semantic/nest2.bmp
182.157	4.442	0	1	0.958	Semantic/null.bmp	Semantic/null.bmp
186.599	4.443	3	1	1.023	Semantic/pigeon.bmp	Semantic/gamble2.bmp
191.042	4.443	2	1	1.039	Semantic/maple.bmp	Semantic/syrup2.bmp
195.485	4.443	0	1	0.984	Semantic/null.bmp	Semantic/null.bmp
199.928	4.443	4	1	0.886	Symbols/i.bmp	Symbols/i2.bmp
204.371	4.443	2	1	1.102	Semantic/hop.bmp	Semantic/skip1.bmp
208.814	4.442	4	1	0.954	Symbols/r.bmp	Symbols/z2.bmp
213.256	4.443	0	1	1.019	Semantic/null.bmp	Semantic/null.bmp
217.699	4.443	5	1	1.017	Symbols/crs.bmp	Symbols/cre2.bmp
222.142	4.443	0	1	0.953	Semantic/null.bmp	Semantic/null.bmp
226.585	4.443	4	1	1.011	Symbols/p.bmp	Symbols/s1.bmp
231.028	4.443	0	1	1.031	Semantic/null.bmp	Semantic/null.bmp
235.471	4.442	3	1	1.056	Semantic/blanket.bmp	Semantic/split2.bmp
239.913	4.443	0	1	0.976	Semantic/null.bmp	Semantic/null.bmp
244.356	4.443	1	1	1.038	Semantic/yours.bmp	Semantic/mine1.bmp
248.799	4.443	0	1	0.985	Semantic/null.bmp	Semantic/null.bmp
253.242	4.443	3	1	0.949	Semantic/corn.bmp	Semantic/blame1.bmp
257.685	4.443	3	1	0.902	Semantic/hunter.bmp	Semantic/lemon2.bmp
262.128	4.442	0	1	0.883	Semantic/null.bmp	Semantic/null.bmp
266.57	4.443	5	1	0.888	Symbols/pcf.bmp	Symbols/kcf2.bmp
271.013	4.443	5	1	0.979	Symbols/van.bmp	Symbols/van2.bmp
275.456	4.443	1	1	0.889	Semantic/prison.bmp	Semantic/jail2.bmp
279.899	4.443	2	1	0.865	Semantic/hoot.bmp	Semantic/owl2.bmp
284.342	4.443	5	1	0.936	Symbols/jzd.bmp	Symbols/jbd2.bmp
288.785	4.443	0	1	0.817	Semantic/null.bmp	Semantic/null.bmp
293.228	4.442	4	1	0.941	Symbols/v.bmp	Symbols/h1.bmp
297.67	4.443	0	1	0.97	Semantic/null.bmp	Semantic/null.bmp
302.113	4.443	2	1	0.785	Semantic/water.bmp	Semantic/drink2.bmp
306.556	4.443	0	1	0.993	Semantic/null.bmp	Semantic/null.bmp
310.999	4.443	1	1	0.959	Semantic/table.bmp	Semantic/chair1.bmp
315.442	4.443	0	1	0.827	Semantic/null.bmp	Semantic/null.bmp
319.885	4.442	1	1	0.999	Semantic/vine.bmp	Semantic/grape2.bmp
324.327	4.443	0	1	0.889	Semantic/null.bmp	Semantic/null.bmp
328.77	4.443	2	1	0.905	Semantic/throw.bmp	Semantic/catch1.bmp
333.213	4.443	4	1	0.98	Symbols/h.bmp	Symbols/c2.bmp
337.656	4.443	0	1	1.018	Semantic/null.bmp	Semantic/null.bmp
342.099	4.443	3	1	0.944	Semantic/able.bmp	Semantic/party2.bmp
346.542	4.442	5	1	1.005	Symbols/ksg.bmp	Symbols/ksj2.bmp
350.984	4.443	5	0	0.989	Symbols/uab.bmp	Symbols/iab1.bmp
355.427	4.443	1	1	0.996	Semantic/lend.bmp	Semantic/borrow1.bmp
359.87	4.443	0	1	0.83	Semantic/null.bmp	Semantic/null.bmp
364.313	4.443	1	0	0.935	Semantic/silver.bmp	Semantic/gold2.bmp
368.756	4.443	0	1	0.839	Semantic/null.bmp	Semantic/null.bmp
373.199	4.443	4	1	0.918	Symbols/m.bmp	Symbols/m2.bmp
377.642	4.442	5	1	0.909	Symbols/upw.bmp	Symbols/upw1.bmp
382.084	4.443	5	1	0.848	Symbols/myh.bmp	Symbols/myl1.bmp
386.527	4.443	0	1	0.961	Semantic/null.bmp	Semantic/null.bmp
