onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.442	3	1	3.057	Semantic/handle.WAV	Semantic/depth.WAV
4.442	4.443	2	0	2.705	Semantic/yarn.WAV	Semantic/knit.WAV
8.885	4.443	3	1	1.644	Semantic/dessert.WAV	Semantic/bony.WAV
13.328	4.443	0	1	1.453	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.771	4.443	2	1	1.363	Semantic/dish.WAV	Semantic/plate.WAV
22.214	4.443	4	0	n/a	Tones/675.WAV	Tones/600.WAV
26.657	4.442	0	0	0.815	Tones/nullsilence.WAV	Tones/nullsilence.WAV
31.099	4.443	4	1	1.288	Tones/600.WAV	Tones/600.WAV
35.542	4.443	4	1	2.601	Tones/325.WAV	Tones/325.WAV
39.985	4.443	4	1	1.611	Tones/350.WAV	Tones/425.WAV
44.428	4.443	0	1	2.259	Tones/nullsilence.WAV	Tones/nullsilence.WAV
48.871	4.443	4	1	1.684	Tones/850.WAV	Tones/850.WAV
53.314	4.442	0	1	1.904	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.756	4.443	3	1	2.231	Semantic/flush.WAV	Semantic/cliff.WAV
62.199	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
66.642	4.443	1	1	2.435	Semantic/ape.WAV	Semantic/monkey.WAV
71.085	4.443	1	1	1.612	Semantic/spoon.WAV	Semantic/fork.WAV
75.528	4.443	0	1	3.116	Tones/nullsilence.WAV	Tones/nullsilence.WAV
79.971	4.442	1	0	n/a	Semantic/awake.WAV	Semantic/asleep.WAV
84.413	4.443	0	1	2.565	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.856	4.443	2	0	n/a	Semantic/senate.WAV	Semantic/congress.WAV
93.299	4.443	0	1	0.674	Tones/nullsilence.WAV	Tones/nullsilence.WAV
97.742	4.443	3	0	n/a	Semantic/steam.WAV	Semantic/gap.WAV
102.185	4.443	0	1	2.342	Tones/nullsilence.WAV	Tones/nullsilence.WAV
106.628	4.443	2	0	n/a	Semantic/checkers.WAV	Semantic/chess.WAV
111.071	4.442	5	1	1.204	Tones/425600750.WAV	Tones/425600750.WAV
115.513	4.443	0	1	1.46	Tones/nullsilence.WAV	Tones/nullsilence.WAV
119.956	4.443	1	1	1.713	Semantic/rodent.WAV	Semantic/rat.WAV
124.399	4.443	2	1	3.288	Semantic/robber.WAV	Semantic/thief.WAV
128.842	4.443	3	1	2.976	Semantic/bone.WAV	Semantic/mountain.WAV
133.285	4.443	4	1	2.454	Tones/775.WAV	Tones/700.WAV
