onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	1.216	Semantic/handle.WAV	Semantic/depth.WAV
4.443	4.442	2	0	1.251	Semantic/yarn.WAV	Semantic/knit.WAV
8.885	4.443	3	1	1.7	Semantic/dessert.WAV	Semantic/bony.WAV
13.328	4.443	0	1	0.819	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.771	4.443	2	0	1.867	Semantic/dish.WAV	Semantic/plate.WAV
22.214	4.443	4	0	1.953	Tones/675.WAV	Tones/600.WAV
26.657	4.443	0	1	1.532	Tones/nullsilence.WAV	Tones/nullsilence.WAV
31.1	4.442	4	1	1.824	Tones/600.WAV	Tones/600.WAV
35.542	4.443	4	1	1.096	Tones/325.WAV	Tones/325.WAV
39.985	4.443	4	1	1.092	Tones/350.WAV	Tones/425.WAV
44.428	4.443	0	1	0.824	Tones/nullsilence.WAV	Tones/nullsilence.WAV
48.871	4.443	4	1	0.919	Tones/850.WAV	Tones/850.WAV
53.314	4.443	0	1	1.102	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.757	4.442	3	1	3.139	Semantic/flush.WAV	Semantic/cliff.WAV
62.199	4.443	0	1	0.703	Tones/nullsilence.WAV	Tones/nullsilence.WAV
66.642	4.443	1	0	1.547	Semantic/ape.WAV	Semantic/monkey.WAV
71.085	4.443	1	1	1.899	Semantic/spoon.WAV	Semantic/fork.WAV
75.528	4.443	0	1	0.532	Tones/nullsilence.WAV	Tones/nullsilence.WAV
79.971	4.443	1	1	2.381	Semantic/awake.WAV	Semantic/asleep.WAV
84.414	4.443	0	1	0.769	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.857	4.442	2	1	1.76	Semantic/senate.WAV	Semantic/congress.WAV
93.299	4.443	0	1	0.777	Tones/nullsilence.WAV	Tones/nullsilence.WAV
97.742	4.443	3	1	1.882	Semantic/steam.WAV	Semantic/gap.WAV
102.185	4.443	0	1	0.417	Tones/nullsilence.WAV	Tones/nullsilence.WAV
106.628	4.443	2	1	0.972	Semantic/checkers.WAV	Semantic/chess.WAV
111.071	4.443	5	1	1.331	Tones/425600750.WAV	Tones/425600750.WAV
115.514	4.442	0	1	0.593	Tones/nullsilence.WAV	Tones/nullsilence.WAV
119.956	4.443	1	1	1.523	Semantic/rodent.WAV	Semantic/rat.WAV
124.399	4.443	2	1	1.795	Semantic/robber.WAV	Semantic/thief.WAV
128.842	4.443	3	1	1.134	Semantic/bone.WAV	Semantic/mountain.WAV
133.285	4.443	4	1	2.432	Tones/775.WAV	Tones/700.WAV
137.728	4.443	2	1	2.974	Semantic/purse.WAV	Semantic/wallet.WAV
142.171	4.442	0	1	1.039	Tones/nullsilence.WAV	Tones/nullsilence.WAV
146.613	4.443	2	1	1.763	Semantic/sunny.WAV	Semantic/cloudy.WAV
151.056	4.443	2	1	2.063	Semantic/hide.WAV	Semantic/seek.WAV
155.499	4.443	0	1	0.616	Tones/nullsilence.WAV	Tones/nullsilence.WAV
159.942	4.443	1	1	1.596	Semantic/mom.WAV	Semantic/dad.WAV
164.385	4.443	4	1	0.939	Tones/625.WAV	Tones/625.WAV
168.828	4.442	3	1	0.99	Semantic/joke.WAV	Semantic/chart.WAV
173.27	4.443	3	1	2.062	Semantic/heavy.WAV	Semantic/wish.WAV
177.713	4.443	3	0	1.456	Semantic/plug.WAV	Semantic/belly.WAV
182.156	4.443	0	1	0.679	Tones/nullsilence.WAV	Tones/nullsilence.WAV
186.599	4.443	3	1	2.511	Semantic/steer.WAV	Semantic/toss.WAV
191.042	4.443	2	1	1.47	Semantic/minus.WAV	Semantic/subtract.WAV
195.485	4.443	0	1	0.535	Tones/nullsilence.WAV	Tones/nullsilence.WAV
