onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.442	3	0	1.714	RhymeSpell/mouth.WAV	RhymeSpell/youth.WAV
4.442	4.443	2	0	1.306	RhymeSpell/tone.WAV	RhymeSpell/known.WAV
8.885	4.443	5	1	0.946	Tones/675.WAV	Tones/600.WAV
13.328	4.443	0	1	1.107	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.771	4.443	3	0	1.08	RhymeSpell/pool.WAV	RhymeSpell/wool.WAV
22.214	4.442	0	1	1.08	Tones/nullsilence.WAV	Tones/nullsilence.WAV
26.656	4.443	5	1	1.003	Tones/600.WAV	Tones/600.WAV
31.099	4.443	5	1	0.951	Tones/325.WAV	Tones/325.WAV
35.542	4.443	1	1	1.019	RhymeSpell/meal.WAV	RhymeSpell/seal.WAV
39.985	4.443	0	1	0.815	Tones/nullsilence.WAV	Tones/nullsilence.WAV
44.428	4.443	3	1	1.137	RhymeSpell/low.WAV	RhymeSpell/vow.WAV
48.871	4.442	6	1	0.863	Tones/425600750.WAV	Tones/425600750.WAV
53.313	4.443	0	1	0.978	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.756	4.443	0	1	0.728	Tones/nullsilence.WAV	Tones/nullsilence.WAV
62.199	4.443	4	1	1.173	RhymeSpell/wrist.WAV	RhymeSpell/friend.WAV
66.642	4.443	4	1	1.227	RhymeSpell/halt.WAV	RhymeSpell/stain.WAV
71.085	4.443	0	1	0.882	Tones/nullsilence.WAV	Tones/nullsilence.WAV
75.528	4.442	6	1	1.062	Tones/550800525.WAV	Tones/550800600.WAV
79.97	4.443	6	1	1.237	Tones/350825400.WAV	Tones/425825400.WAV
84.413	4.443	0	1	0.831	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.856	4.443	1	1	1.588	RhymeSpell/cure.WAV	RhymeSpell/sure.WAV
93.299	4.443	2	1	1.154	RhymeSpell/sleek.WAV	RhymeSpell/speak.WAV
97.742	4.443	0	1	0.966	Tones/nullsilence.WAV	Tones/nullsilence.WAV
102.185	4.442	4	1	0.993	RhymeSpell/trust.WAV	RhymeSpell/chalk.WAV
106.627	4.443	2	1	0.955	RhymeSpell/street.WAV	RhymeSpell/wheat.WAV
111.07	4.443	0	1	0.909	Tones/nullsilence.WAV	Tones/nullsilence.WAV
115.513	4.443	6	1	0.899	Tones/650475300.WAV	Tones/650475300.WAV
119.956	4.443	6	0	1.246	Tones/425675500.WAV	Tones/425750500.WAV
124.399	4.443	0	1	0.841	Tones/nullsilence.WAV	Tones/nullsilence.WAV
128.842	4.443	5	1	0.901	Tones/350.WAV	Tones/425.WAV
133.285	4.442	0	1	0.789	Tones/nullsilence.WAV	Tones/nullsilence.WAV
137.727	4.443	2	1	1.085	RhymeSpell/rear.WAV	RhymeSpell/mere.WAV
142.17	4.443	1	1	1.024	RhymeSpell/crown.WAV	RhymeSpell/town.WAV
146.613	4.443	3	1	1.317	RhymeSpell/sword.WAV	RhymeSpell/word.WAV
151.056	4.443	6	1	1.094	Tones/875575325.WAV	Tones/875575400.WAV
155.499	4.443	3	1	1.68	RhymeSpell/head.WAV	RhymeSpell/bead.WAV
159.942	4.442	0	1	1.654	Tones/nullsilence.WAV	Tones/nullsilence.WAV
164.384	4.443	5	1	0.983	Tones/850.WAV	Tones/850.WAV
168.827	4.443	0	1	0.708	Tones/nullsilence.WAV	Tones/nullsilence.WAV
173.27	4.443	6	1	1.048	Tones/725400775.WAV	Tones/650400775.WAV
177.713	4.443	2	1	1.054	RhymeSpell/size.WAV	RhymeSpell/wise.WAV
182.156	4.443	4	1	1.203	RhymeSpell/clash.WAV	RhymeSpell/worse.WAV
186.599	4.442	5	1	0.905	Tones/775.WAV	Tones/700.WAV
191.041	4.443	0	1	0.943	Tones/nullsilence.WAV	Tones/nullsilence.WAV
195.484	4.443	0	1	0.759	Tones/nullsilence.WAV	Tones/nullsilence.WAV
199.927	4.443	4	0	1.554	RhymeSpell/loose.WAV	RhymeSpell/drew.WAV
204.37	4.443	0	1	1.084	Tones/nullsilence.WAV	Tones/nullsilence.WAV
208.813	4.443	4	1	0.925	RhymeSpell/yeast.WAV	RhymeSpell/tooth.WAV
213.256	4.442	0	1	0.718	Tones/nullsilence.WAV	Tones/nullsilence.WAV
217.698	4.443	3	0	1.332	RhymeSpell/shove.WAV	RhymeSpell/wove.WAV
222.141	4.443	5	1	0.947	Tones/625.WAV	Tones/625.WAV
226.584	4.443	2	1	1.04	RhymeSpell/chair.WAV	RhymeSpell/scare.WAV
231.027	4.443	0	1	0.924	Tones/nullsilence.WAV	Tones/nullsilence.WAV
235.47	4.443	1	1	0.998	RhymeSpell/dad.WAV	RhymeSpell/sad.WAV
239.913	4.443	0	1	0.862	Tones/nullsilence.WAV	Tones/nullsilence.WAV
244.356	4.442	4	1	1.58	RhymeSpell/beef.WAV	RhymeSpell/keep.WAV
248.798	4.443	3	1	1.529	RhymeSpell/broad.WAV	RhymeSpell/toad.WAV
253.241	4.443	0	1	1.003	Tones/nullsilence.WAV	Tones/nullsilence.WAV
257.684	4.443	0	1	0.67	Tones/nullsilence.WAV	Tones/nullsilence.WAV
262.127	4.443	4	1	1.187	RhymeSpell/rail.WAV	RhymeSpell/fast.WAV
266.57	4.443	0	1	0.79	Tones/nullsilence.WAV	Tones/nullsilence.WAV
271.013	4.442	1	1	1.015	RhymeSpell/leg.WAV	RhymeSpell/peg.WAV
275.455	4.443	1	1	0.945	RhymeSpell/mule.WAV	RhymeSpell/rule.WAV
279.898	4.443	6	1	1.084	Tones/325500725.WAV	Tones/325500725.WAV
284.341	4.443	6	1	1.11	Tones/625450850.WAV	Tones/625450775.WAV
288.784	4.443	0	1	0.846	Tones/nullsilence.WAV	Tones/nullsilence.WAV
293.227	4.443	4	1	1.172	RhymeSpell/storm.WAV	RhymeSpell/chose.WAV
297.67	4.442	0	1	1.003	Tones/nullsilence.WAV	Tones/nullsilence.WAV
302.112	4.443	2	1	1.028	RhymeSpell/prize.WAV	RhymeSpell/rise.WAV
306.555	4.443	0	1	0.889	Tones/nullsilence.WAV	Tones/nullsilence.WAV
310.998	4.443	1	1	1.52	RhymeSpell/fought.WAV	RhymeSpell/sought.WAV
315.441	4.443	4	1	1.168	RhymeSpell/wage.WAV	RhymeSpell/spice.WAV
319.884	4.443	1	1	2.049	RhymeSpell/beast.WAV	RhymeSpell/least.WAV
324.327	4.442	5	1	0.872	Tones/800.WAV	Tones/800.WAV
328.769	4.443	5	1	0.892	Tones/375.WAV	Tones/450.WAV
333.212	4.443	0	1	0.815	Tones/nullsilence.WAV	Tones/nullsilence.WAV
337.655	4.443	4	1	1.783	RhymeSpell/dome.WAV	RhymeSpell/fool.WAV
342.098	4.443	0	1	0.943	Tones/nullsilence.WAV	Tones/nullsilence.WAV
346.541	4.443	1	1	1.03	RhymeSpell/grant.WAV	RhymeSpell/slant.WAV
350.984	4.443	1	1	1.036	RhymeSpell/numb.WAV	RhymeSpell/thumb.WAV
355.427	4.442	1	1	1.136	RhymeSpell/chess.WAV	RhymeSpell/press.WAV
359.869	4.443	6	1	0.921	Tones/875675300.WAV	Tones/875675300.WAV
364.312	4.443	3	1	1.995	RhymeSpell/damp.WAV	RhymeSpell/swamp.WAV
368.755	4.443	2	1	1.15	RhymeSpell/true.WAV	RhymeSpell/grew.WAV
373.198	4.443	0	1	0.928	Tones/nullsilence.WAV	Tones/nullsilence.WAV
377.641	4.443	5	1	0.82	Tones/650.WAV	Tones/575.WAV
382.084	4.442	3	1	1.184	RhymeSpell/shown.WAV	RhymeSpell/clown.WAV
386.526	4.443	4	1	1.048	RhymeSpell/paint.WAV	RhymeSpell/sigh.WAV
390.969	4.443	1	1	1.009	RhymeSpell/stone.WAV	RhymeSpell/zone.WAV
395.412	4.443	0	1	0.937	Tones/nullsilence.WAV	Tones/nullsilence.WAV
399.855	4.443	6	1	1.094	Tones/375750475.WAV	Tones/375750475.WAV
404.298	4.443	0	1	1.007	Tones/nullsilence.WAV	Tones/nullsilence.WAV
408.741	4.442	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
413.183	4.443	2	1	1.071	RhymeSpell/spear.WAV	RhymeSpell/sphere.WAV
417.626	4.443	0	1	1.201	Tones/nullsilence.WAV	Tones/nullsilence.WAV
422.069	4.443	6	1	0.888	Tones/375800525.WAV	Tones/375800525.WAV
426.512	4.443	2	1	0.993	RhymeSpell/pro.WAV	RhymeSpell/mow.WAV
430.955	4.443	0	1	1.159	Tones/nullsilence.WAV	Tones/nullsilence.WAV
435.398	4.442	4	0	1.958	RhymeSpell/home.WAV	RhymeSpell/form.WAV
439.84	4.443	3	0	0.995	RhymeSpell/smooth.WAV	RhymeSpell/booth.WAV
444.283	4.443	0	1	0.943	Tones/nullsilence.WAV	Tones/nullsilence.WAV
448.726	4.443	1	1	0.932	RhymeSpell/grief.WAV	RhymeSpell/thief.WAV
453.169	4.443	2	1	0.999	RhymeSpell/top.WAV	RhymeSpell/swap.WAV
457.612	4.443	5	1	0.968	Tones/300.WAV	Tones/375.WAV
462.055	4.443	0	1	1.09	Tones/nullsilence.WAV	Tones/nullsilence.WAV
466.498	4.442	5	1	0.86	Tones/575.WAV	Tones/650.WAV
470.94	4.443	0	1	0.877	Tones/nullsilence.WAV	Tones/nullsilence.WAV
475.383	4.439	4	1	2.069	RhymeSpell/dream.WAV	RhymeSpell/blame.WAV
