ID	TASK	MODE	CONDITION	PRIME	TARGET	ASS	T_WF	P_WF	T_SF	P_SF	T_G_A	P_G_A	T_G_C	P_G_C	P_Friend	P_P_Enemy	P_O_Enemy	T_Friend	T_P_Enemy	T_O_Enemy
1	semantic	aud	high	insect	bug	0.49	2	9	6	1	0.29	5.55	0.96	3.12	-1	-1	-1	-1	-1	-1
2	semantic	aud	high	buyer	seller	0.57	3	4	2	2	4.38	7.01	0.42	0.5	-1	-1	-1	-1	-1	-1
3	semantic	aud	high	web	spider	0.85	4	6	2	2	0.58	1.17	4.13	2.22	-1	-1	-1	-1	-1	-1
4	semantic	aud	high	jigsaw	puzzle	0.84	6	3	2	0	2.63	0.29	2.25	0.21	-1	-1	-1	-1	-1	-1
5	semantic	aud	high	itch	scratch	0.85	9	1	12	0	1.46	0	3.7	0.31	-1	-1	-1	-1	-1	-1
6	semantic	aud	high	rodent	rat	0.6	9	1	8	0	1.17	0	4.98	0	-1	-1	-1	-1	-1	-1
7	semantic	aud	high	handbag	purse	0.6	9	8	5	4	0.88	0	2.17	0.09	-1	-1	-1	-1	-1	-1
8	semantic	aud	high	ape	monkey	0.46	9	5	5	1	1.17	1.17	3.4	0.91	-1	-1	-1	-1	-1	-1
9	semantic	aud	high	hammer	nail	0.8	10	13	10	12	0.58	1.75	2.98	3.95	-1	-1	-1	-1	-1	-1
10	semantic	aud	high	trash	garbage	0.53	10	4	2	0	2.04	1.75	5.14	4.08	-1	-1	-1	-1	-1	-1
11	semantic	aud	high	bunny	rabbit	0.74	11	1	3	2	0.58	0	9.14	0.88	-1	-1	-1	-1	-1	-1
12	semantic	aud	high	spoon	fork	0.61	12	12	5	1	0.29	0.58	2.41	2.64	-1	-1	-1	-1	-1	-1
13	semantic	aud	high	baggage	luggage	0.4	12	9	4	1	0.29	0.29	0.89	1.13	-1	-1	-1	-1	-1	-1
14	semantic	aud	high	film	movie	0.54	31	76	12	231	4.67	11.68	8.71	5.29	-1	-1	-1	-1	-1	-1
15	semantic	aud	high	mom	dad	0.76	32	6	25	0	0	0	20.72	16.08	-1	-1	-1	-1	-1	-1
16	semantic	aud	high	awake	asleep	0.62	46	25	14	9	0.29	0.88	13.61	6.82	-1	-1	-1	-1	-1	-1
17	semantic	aud	high	ship	boat	0.57	56	46	50	24	3.8	12.56	27.49	33.35	-1	-1	-1	-1	-1	-1
18	semantic	aud	high	fuel	gas	0.66	70	44	81	66	37.97	17.53	25.04	8.64	-1	-1	-1	-1	-1	-1
19	semantic	aud	high	murder	kill	0.56	79	52	25	22	7.3	4.38	17.15	2.5	-1	-1	-1	-1	-1	-1
20	semantic	aud	high	summer	winter	0.4	83	124	35	82	12.56	16.07	45.07	51.94	-1	-1	-1	-1	-1	-1
21	semantic	aud	high	supper	dinner	0.55	95	28	35	5	2.92	0.29	20.31	12.33	-1	-1	-1	-1	-1	-1
22	semantic	aud	high	tall	short	0.7	196	68	145	16	55.79	7.59	50.22	40.44	-1	-1	-1	-1	-1	-1
23	semantic	aud	high	life	death	0.49	235	748	69	559	57.84	222.3	25.44	134.22	-1	-1	-1	-1	-1	-1
24	semantic	aud	high	big	small	0.64	537	313	316	357	175.85	24.83	181.02	149.4	-1	-1	-1	-1	-1	-1
25	semantic	aud	low	yarn	knit	0.39	0	1	0	0	0.58	0.58	0.68	1.46	-1	-1	-1	-1	-1	-1
26	semantic	aud	low	pimple	zit	0.39	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1
27	semantic	aud	low	minus	subtract	0.24	0	4	8	137	0.29	1.46	0.07	0.35	-1	-1	-1	-1	-1	-1
28	semantic	aud	low	raisin	prune	0.12	1	1	1	1	0	0	0	0	-1	-1	-1	-1	-1	-1
29	semantic	aud	low	sly	sneaky	0.22	1	6	0	1	0	0	0	0.52	-1	-1	-1	-1	-1	-1
30	semantic	aud	low	skunk	stink	0.23	3	0	0	0	0	0	0.31	0.75	-1	-1	-1	-1	-1	-1
31	semantic	aud	low	dig	shovel	0.32	3	19	2	10	0	2.04	1.92	8.19	-1	-1	-1	-1	-1	-1
32	semantic	aud	low	sunny	cloudy	0.18	3	12	1	6	0.88	0.29	1.71	5.2	-1	-1	-1	-1	-1	-1
33	semantic	aud	low	cactus	prickly	0.19	4	2	1	0	0	0	0.31	2.15	-1	-1	-1	-1	-1	-1
34	semantic	aud	low	robber	thief	0.36	6	2	9	1	0	0	2.19	0.54	-1	-1	-1	-1	-1	-1
35	semantic	aud	low	purse	wallet	0.2	7	9	2	5	0	0.88	0.54	2.17	-1	-1	-1	-1	-1	-1
36	semantic	aud	low	sneeze	cough	0.35	10	0	19	0	0.58	0	1.57	0.54	-1	-1	-1	-1	-1	-1
37	semantic	aud	low	choir	chorus	0.12	10	7	2	0	0.88	0	0.91	0.82	-1	-1	-1	-1	-1	-1
38	semantic	aud	low	checkers	chess	0.26	15	0	5	0	0	0	0.96	0.39	-1	-1	-1	-1	-1	-1
39	semantic	aud	low	truth	honest	0.25	35	132	42	65	5.26	17.82	4.28	11.98	-1	-1	-1	-1	-1	-1
40	semantic	aud	low	dish	plate	0.32	39	23	11	2	15.19	1.17	7.43	2.98	-1	-1	-1	-1	-1	-1
41	semantic	aud	low	senate	congress	0.25	40	15	6	14	95.81	18.99	4.62	0.85	-1	-1	-1	-1	-1	-1
42	semantic	aud	low	hide	seek	0.39	44	35	16	4	25.41	2.34	3.52	12.22	-1	-1	-1	-1	-1	-1
43	semantic	aud	low	picture	painting	0.18	56	103	35	145	7.59	30.09	5.92	64.15	-1	-1	-1	-1	-1	-1
44	semantic	aud	low	call	phone	0.38	81	229	66	353	3.51	36.51	8.7	58.62	-1	-1	-1	-1	-1	-1
45	semantic	aud	low	teach	learn	0.42	116	44	196	112	65.14	11.98	65.53	10.23	-1	-1	-1	-1	-1	-1
46	semantic	aud	low	earth	ground	0.17	195	164	66	79	26.58	50.54	72.47	100.35	-1	-1	-1	-1	-1	-1
47	semantic	aud	low	human	person	0.24	219	311	349	201	144.3	154.24	83.64	25.45	-1	-1	-1	-1	-1	-1
48	semantic	aud	low	fingers	hands	0.46	300	79	74	19	29.5	4.09	69.09	22.39	-1	-1	-1	-1	-1	-1
49	semantic	aud	unrel	stack	chef	0	3	8	0	1	0	0.88	0.09	2.13	-1	-1	-1	-1	-1	-1
50	semantic	aud	unrel	pirate	bandage	0	4	3	0	2	0	0	0.81	1.52	-1	-1	-1	-1	-1	-1
51	semantic	aud	unrel	forgave	maiden	0	5	4	4	0	0	0	0.89	0	-1	-1	-1	-1	-1	-1
52	semantic	aud	unrel	spongy	madam	0	6	1	6	0	0	0.58	0.65	0.21	-1	-1	-1	-1	-1	-1
53	semantic	aud	unrel	mansion	super	0	6	9	33	1	0.88	0.58	0.77	0.59	-1	-1	-1	-1	-1	-1
54	semantic	aud	unrel	steer	toss	0	7	5	0	5	0.58	1.46	1.73	2.15	-1	-1	-1	-1	-1	-1
55	semantic	aud	unrel	dessert	bony	0	9	5	0	0	1.46	0	1.34	0.58	-1	-1	-1	-1	-1	-1
56	semantic	aud	unrel	bacon	wipe	0	12	17	8	5	0.58	1.17	1.38	2.8	-1	-1	-1	-1	-1	-1
57	semantic	aud	unrel	joke	chart	0	14	33	9	23	10.81	1.46	6.28	3.57	-1	-1	-1	-1	-1	-1
58	semantic	aud	unrel	turtle	boom	0	15	2	12	0	3.8	0	1.71	3.62	-1	-1	-1	-1	-1	-1
59	semantic	aud	unrel	spell	dim	0	16	21	6	28	1.46	2.04	5.2	5.59	-1	-1	-1	-1	-1	-1
60	semantic	aud	unrel	flush	cliff	0	17	10	6	0	0.58	0.58	5.55	0.35	-1	-1	-1	-1	-1	-1
61	semantic	aud	unrel	plug	belly	0	18	5	4	13	0.58	0.58	2.25	0.94	-1	-1	-1	-1	-1	-1
62	semantic	aud	unrel	handle	depth	0	25	44	43	32	8.76	15.48	1.49	11.02	-1	-1	-1	-1	-1	-1
63	semantic	aud	unrel	gently	ceiling	0	27	53	8	2	3.21	1.46	5.44	13.83	-1	-1	-1	-1	-1	-1
64	semantic	aud	unrel	steam	gap	0	34	18	31	13	9.06	9.93	1.88	7.97	-1	-1	-1	-1	-1	-1
65	semantic	aud	unrel	secret	tone	0	46	96	16	19	6.13	13.15	6.32	17.12	-1	-1	-1	-1	-1	-1
66	semantic	aud	unrel	bone	mountain	0	49	28	7	3	9.93	10.22	30.83	10.93	-1	-1	-1	-1	-1	-1
67	semantic	aud	unrel	flow	teaching	0	70	42	253	46	38.56	33.3	4.88	11.11	-1	-1	-1	-1	-1	-1
68	semantic	aud	unrel	headed	thirty	0	75	25	108	10	10.52	6.43	8.57	7.07	-1	-1	-1	-1	-1	-1
69	semantic	aud	unrel	trade	square	0	91	164	83	181	14.02	56.96	16.14	14.86	-1	-1	-1	-1	-1	-1
70	semantic	aud	unrel	lord	oil	0	123	207	134	169	48.78	7.3	35	10.8	-1	-1	-1	-1	-1	-1
71	semantic	aud	unrel	heavy	wish	0	127	138	136	64	19.57	28.04	25.96	42.5	-1	-1	-1	-1	-1	-1
72	semantic	aud	unrel	note	press	0	137	84	83	49	21.91	30.96	5.51	14.19	-1	-1	-1	-1	-1	-1
73	semantic	vis	high	syrup	pancakes	0.5	1	7	1	1	0	0	1.35	1.45	-1	-1	-1	-1	-1	-1
74	semantic	vis	high	noun	verb	0.69	2	1	9	5	1.75	0.88	5.46	4.3	-1	-1	-1	-1	-1	-1
75	semantic	vis	high	vine	grape	0.61	2	3	0	0	0.29	0	0.47	1.1	-1	-1	-1	-1	-1	-1
76	semantic	vis	high	dime	nickel	0.53	2	4	0	0	2.04	0.29	1.8	1.73	-1	-1	-1	-1	-1	-1
77	semantic	vis	high	washer	dryer	0.76	2	2	2	1	0	0	0.23	0.07	-1	-1	-1	-1	-1	-1
78	semantic	vis	high	circus	clown	0.59	3	15	0	3	0.29	0.88	0.63	4.64	-1	-1	-1	-1	-1	-1
79	semantic	vis	high	winner	loser	0.6	3	11	4	26	0.29	1.75	0.23	1.82	-1	-1	-1	-1	-1	-1
80	semantic	vis	high	mitten	glove	0.59	5	0	0	0	0	0	1.29	0.09	-1	-1	-1	-1	-1	-1
81	semantic	vis	high	jam	jelly	0.45	10	13	4	6	0.58	0	1.91	1.57	-1	-1	-1	-1	-1	-1
82	semantic	vis	high	yell	scream	0.58	14	5	13	5	0	0	3.04	1.89	-1	-1	-1	-1	-1	-1
83	semantic	vis	high	sock	shoe	0.62	15	3	5	2	2.04	0	4.93	0.63	-1	-1	-1	-1	-1	-1
84	semantic	vis	high	lend	borrow	0.55	16	12	16	8	4.09	4.09	2.3	1.41	-1	-1	-1	-1	-1	-1
85	semantic	vis	high	prison	jail	0.42	30	67	19	92	2.34	6.13	4.55	3.98	-1	-1	-1	-1	-1	-1
86	semantic	vis	high	start	finish	0.4	35	200	57	379	4.09	25.71	10.64	48.01	-1	-1	-1	-1	-1	-1
87	semantic	vis	high	dog	cat	0.67	44	75	9	43	1.17	5.55	21.6	56.15	-1	-1	-1	-1	-1	-1
88	semantic	vis	high	sketch	draw	0.76	58	6	107	15	13.73	2.63	12.69	1.11	-1	-1	-1	-1	-1	-1
89	semantic	vis	high	thin	fat	0.56	90	78	14	32	11.68	15.19	15.56	30.16	-1	-1	-1	-1	-1	-1
90	semantic	vis	high	yours	mine	0.67	92	45	99	55	3.51	0.88	15.85	7.75	-1	-1	-1	-1	-1	-1
91	semantic	vis	high	silver	gold	0.64	92	54	27	16	19.86	9.93	38.6	22.95	-1	-1	-1	-1	-1	-1
92	semantic	vis	high	table	chair	0.76	114	214	12	64	4.38	40.6	24.34	59.57	-1	-1	-1	-1	-1	-1
93	semantic	vis	high	above	below	0.56	134	235	42	85	37.68	53.46	52.76	60.56	-1	-1	-1	-1	-1	-1
94	semantic	vis	high	question	answer	0.77	163	240	339	931	33.89	67.19	53.74	33.37	-1	-1	-1	-1	-1	-1
95	semantic	vis	high	little	big	0.36	313	982	357	823	24.83	126.78	149.4	289.59	-1	-1	-1	-1	-1	-1
