onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	0	2.786	RhymeSpell/took.bmp	RhymeSpell/spook2.bmp
4.443	4.443	2	1	1.12	RhymeSpell/quo.bmp	RhymeSpell/glow1.bmp
8.886	4.443	5	1	0.964	Symbols/t.bmp	Symbols/g2.bmp
13.329	4.443	0	1	1.327	RhymeSpell/null.bmp	RhymeSpell/null.bmp
17.772	4.443	3	1	2.178	RhymeSpell/seat.bmp	RhymeSpell/threat1.bmp
22.215	4.442	0	1	1.853	RhymeSpell/null.bmp	RhymeSpell/null.bmp
26.657	4.443	5	1	1.623	Symbols/w.bmp	Symbols/w2.bmp
31.1	4.443	5	1	2.709	Symbols/u.bmp	Symbols/u2.bmp
35.543	4.443	1	0	2.762	RhymeSpell/car.bmp	RhymeSpell/star2.bmp
39.986	4.443	0	1	1.689	RhymeSpell/null.bmp	RhymeSpell/null.bmp
44.429	4.443	3	1	2.372	RhymeSpell/flash.bmp	RhymeSpell/wash1.bmp
48.872	4.442	6	0	1.507	Symbols/mfc.bmp	Symbols/mfc1.bmp
53.314	4.443	0	1	1.69	RhymeSpell/null.bmp	RhymeSpell/null.bmp
57.757	4.443	0	1	1.56	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	4	1	1.673	RhymeSpell/name.bmp	RhymeSpell/knee2.bmp
66.643	4.443	4	1	1.709	RhymeSpell/cap.bmp	RhymeSpell/north2.bmp
71.086	4.443	0	1	2.012	RhymeSpell/null.bmp	RhymeSpell/null.bmp
75.529	4.443	6	1	1.124	Symbols/crs.bmp	Symbols/cre2.bmp
79.972	4.442	6	1	1.161	Symbols/pcf.bmp	Symbols/kcf2.bmp
84.414	4.443	0	1	1.172	RhymeSpell/null.bmp	RhymeSpell/null.bmp
88.857	4.443	1	1	1.703	RhymeSpell/page.bmp	RhymeSpell/stage2.bmp
93.3	4.443	2	0	n/a	RhymeSpell/woe.bmp	RhymeSpell/show2.bmp
97.743	4.443	0	1	1.376	RhymeSpell/null.bmp	RhymeSpell/null.bmp
102.186	4.443	4	1	2.921	RhymeSpell/scheme.bmp	RhymeSpell/saint1.bmp
106.629	4.442	2	1	2.175	RhymeSpell/foe.bmp	RhymeSpell/stow2.bmp
