onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	2	1	1.113	RhymeSpell/crawl.WAV	RhymeSpell/ball.WAV
4.443	4.442	2	1	1.161	RhymeSpell/moan.WAV	RhymeSpell/bone.WAV
8.885	4.443	0	1	1.167	Tones/nullsilence.WAV	Tones/nullsilence.WAV
13.328	4.443	3	1	1.239	RhymeSpell/harm.WAV	RhymeSpell/warm.WAV
17.771	4.443	0	1	1.205	Tones/nullsilence.WAV	Tones/nullsilence.WAV
22.214	4.443	3	1	1.12	RhymeSpell/dull.WAV	RhymeSpell/pull.WAV
26.657	4.443	5	1	1.235	Tones/700.WAV	Tones/700.WAV
31.1	4.442	1	1	1.594	RhymeSpell/dime.WAV	RhymeSpell/lime.WAV
35.542	4.443	0	1	1.208	Tones/nullsilence.WAV	Tones/nullsilence.WAV
39.985	4.443	1	0	2.445	RhymeSpell/thread.WAV	RhymeSpell/dread.WAV
44.428	4.443	4	1	1.263	RhymeSpell/dash.WAV	RhymeSpell/brow.WAV
48.871	4.443	2	1	1.059	RhymeSpell/though.WAV	RhymeSpell/blow.WAV
53.314	4.443	2	1	1.261	RhymeSpell/greet.WAV	RhymeSpell/neat.WAV
57.757	4.443	0	1	1.365	Tones/nullsilence.WAV	Tones/nullsilence.WAV
62.2	4.442	1	1	1.283	RhymeSpell/mad.WAV	RhymeSpell/pad.WAV
66.642	4.443	0	1	1.198	Tones/nullsilence.WAV	Tones/nullsilence.WAV
71.085	4.443	5	1	1.226	Tones/450.WAV	Tones/525.WAV
75.528	4.443	0	1	1.278	Tones/nullsilence.WAV	Tones/nullsilence.WAV
79.971	4.443	3	1	2.108	RhymeSpell/tough.WAV	RhymeSpell/cough.WAV
84.414	4.443	6	1	1.48	Tones/350475625.WAV	Tones/350475625.WAV
88.857	4.442	1	1	1.454	RhymeSpell/drum.WAV	RhymeSpell/gum.WAV
93.299	4.443	0	1	1.235	Tones/nullsilence.WAV	Tones/nullsilence.WAV
97.742	4.443	5	1	1.244	Tones/825.WAV	Tones/750.WAV
102.185	4.622	5	1	1.211	Tones/875.WAV	Tones/875.WAV
106.807	4.443	2	1	1.189	RhymeSpell/comb.WAV	RhymeSpell/chrome.WAV
111.25	4.443	0	1	1.408	Tones/nullsilence.WAV	Tones/nullsilence.WAV
115.693	4.442	3	1	1.182	RhymeSpell/couch.WAV	RhymeSpell/touch.WAV
120.135	4.443	0	1	1.182	Tones/nullsilence.WAV	Tones/nullsilence.WAV
124.578	4.443	6	1	1.111	Tones/325575725.WAV	Tones/325500725.WAV
129.021	4.443	0	1	1.193	Tones/nullsilence.WAV	Tones/nullsilence.WAV
133.464	4.443	3	1	1.369	RhymeSpell/gull.WAV	RhymeSpell/bull.WAV
137.907	4.443	4	1	1.002	RhymeSpell/goes.WAV	RhymeSpell/lap.WAV
142.35	4.443	5	1	1.161	Tones/525.WAV	Tones/525.WAV
146.793	4.442	1	1	1.224	RhymeSpell/pay.WAV	RhymeSpell/play.WAV
151.235	4.443	0	1	1.382	Tones/nullsilence.WAV	Tones/nullsilence.WAV
155.678	4.443	4	1	1.617	RhymeSpell/staff.WAV	RhymeSpell/gain.WAV
160.121	4.443	5	1	1.141	Tones/425.WAV	Tones/425.WAV
164.564	4.443	0	1	1.338	Tones/nullsilence.WAV	Tones/nullsilence.WAV
169.007	4.443	4	1	1.49	RhymeSpell/scale.WAV	RhymeSpell/fly.WAV
173.45	4.442	0	1	1.282	Tones/nullsilence.WAV	Tones/nullsilence.WAV
177.892	4.443	6	1	1.284	Tones/425700850.WAV	Tones/425700775.WAV
182.335	4.443	0	1	1.336	Tones/nullsilence.WAV	Tones/nullsilence.WAV
186.778	4.443	1	1	1.237	RhymeSpell/hint.WAV	RhymeSpell/print.WAV
191.221	4.443	0	1	1.248	Tones/nullsilence.WAV	Tones/nullsilence.WAV
195.664	4.443	6	1	1.292	Tones/525800450.WAV	Tones/525800450.WAV
200.107	4.442	0	1	1.572	Tones/nullsilence.WAV	Tones/nullsilence.WAV
204.549	4.443	5	1	1.415	Tones/400.WAV	Tones/400.WAV
208.992	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
213.435	4.443	3	1	1.372	RhymeSpell/foot.WAV	RhymeSpell/hoot.WAV
217.878	4.443	0	1	1.17	Tones/nullsilence.WAV	Tones/nullsilence.WAV
222.321	4.443	3	1	1.192	RhymeSpell/glove.WAV	RhymeSpell/drove.WAV
226.764	4.443	0	0	1.338	Tones/nullsilence.WAV	Tones/nullsilence.WAV
231.207	4.442	2	1	1.137	RhymeSpell/trade.WAV	RhymeSpell/paid.WAV
235.649	4.443	3	1	1.162	RhymeSpell/moth.WAV	RhymeSpell/both.WAV
240.092	4.443	4	1	1.097	RhymeSpell/start.WAV	RhymeSpell/pure.WAV
244.535	4.443	6	1	0.959	Tones/600550400.WAV	Tones/675550400.WAV
248.978	4.443	0	1	1.28	Tones/nullsilence.WAV	Tones/nullsilence.WAV
253.421	4.443	5	1	1.313	Tones/500.WAV	Tones/500.WAV
257.864	4.442	0	1	1.336	Tones/nullsilence.WAV	Tones/nullsilence.WAV
262.306	4.443	6	1	1.167	Tones/450650850.WAV	Tones/375650850.WAV
266.749	4.443	0	1	1.293	Tones/nullsilence.WAV	Tones/nullsilence.WAV
271.192	4.443	1	1	1.234	RhymeSpell/wall.WAV	RhymeSpell/tall.WAV
275.635	4.443	0	1	1.163	Tones/nullsilence.WAV	Tones/nullsilence.WAV
280.078	4.443	2	1	1.659	RhymeSpell/glad.WAV	RhymeSpell/plaid.WAV
284.521	4.442	0	1	1.179	Tones/nullsilence.WAV	Tones/nullsilence.WAV
288.963	4.443	5	1	1.945	Tones/725.WAV	Tones/650.WAV
293.406	4.443	0	1	1.55	Tones/nullsilence.WAV	Tones/nullsilence.WAV
297.849	4.443	4	1	1.245	RhymeSpell/strut.WAV	RhymeSpell/glint.WAV
302.292	4.443	2	1	1.16	RhymeSpell/sheet.WAV	RhymeSpell/heat.WAV
306.735	4.443	6	1	1.198	Tones/750300700.WAV	Tones/750300700.WAV
311.178	4.443	2	1	1.243	RhymeSpell/whom.WAV	RhymeSpell/womb.WAV
315.621	4.442	4	1	1.461	RhymeSpell/spare.WAV	RhymeSpell/cow.WAV
320.063	4.443	0	1	1.255	Tones/nullsilence.WAV	Tones/nullsilence.WAV
324.506	4.443	3	1	1.532	RhymeSpell/fat.WAV	RhymeSpell/swat.WAV
328.949	4.443	4	1	1.643	RhymeSpell/team.WAV	RhymeSpell/brief.WAV
333.392	4.443	0	1	1.329	Tones/nullsilence.WAV	Tones/nullsilence.WAV
337.835	4.443	5	1	1.316	Tones/550.WAV	Tones/550.WAV
342.278	4.442	0	1	1.482	Tones/nullsilence.WAV	Tones/nullsilence.WAV
346.72	4.443	3	1	1.15	RhymeSpell/bad.WAV	RhymeSpell/wad.WAV
351.163	4.443	1	1	1.227	RhymeSpell/glare.WAV	RhymeSpell/share.WAV
355.606	4.443	0	1	1.142	Tones/nullsilence.WAV	Tones/nullsilence.WAV
360.049	4.443	1	1	1.133	RhymeSpell/cold.WAV	RhymeSpell/told.WAV
364.492	4.443	6	1	1.381	Tones/775625825.WAV	Tones/775625825.WAV
368.935	4.442	1	1	2.786	RhymeSpell/dawn.WAV	RhymeSpell/lawn.WAV
373.377	4.443	1	1	1.266	RhymeSpell/broke.WAV	RhymeSpell/joke.WAV
377.82	4.443	4	1	1.355	RhymeSpell/craft.WAV	RhymeSpell/young.WAV
382.263	4.443	0	1	1.248	Tones/nullsilence.WAV	Tones/nullsilence.WAV
386.706	4.443	3	0	1.206	RhymeSpell/hull.WAV	RhymeSpell/full.WAV
391.149	4.443	3	1	1.306	RhymeSpell/freight.WAV	RhymeSpell/height.WAV
395.592	4.443	5	1	2.088	Tones/750.WAV	Tones/675.WAV
400.035	4.442	2	1	1.798	RhymeSpell/stool.WAV	RhymeSpell/ghoul.WAV
404.477	4.443	2	1	1.183	RhymeSpell/hoe.WAV	RhymeSpell/throw.WAV
408.92	4.443	0	1	1.183	Tones/nullsilence.WAV	Tones/nullsilence.WAV
413.363	4.443	6	1	1.195	Tones/875675500.WAV	Tones/875675500.WAV
417.806	4.443	3	1	1.538	RhymeSpell/cost.WAV	RhymeSpell/ghost.WAV
422.249	4.443	0	1	1.206	Tones/nullsilence.WAV	Tones/nullsilence.WAV
426.692	4.442	6	1	1.265	Tones/650350575.WAV	Tones/650350575.WAV
431.134	4.443	2	1	1.184	RhymeSpell/gas.WAV	RhymeSpell/pass.WAV
435.577	4.443	3	1	1.214	RhymeSpell/blood.WAV	RhymeSpell/wood.WAV
