onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.655	4	0	1.364	Tones/450.WAV	Tones/525.WAV
4.655	4.442	2	1	2.013	Semantic/human.WAV	Semantic/person.WAV
9.097	4.443	0	1	0.965	Tones/nullsilence.WAV	Tones/nullsilence.WAV
13.54	4.443	4	0	1.39	Tones/825.WAV	Tones/750.WAV
17.983	4.443	5	1	0.841	Tones/375800525.WAV	Tones/375800525.WAV
22.426	4.443	0	1	1.024	Tones/nullsilence.WAV	Tones/nullsilence.WAV
26.869	4.443	5	1	0.79	Tones/350475625.WAV	Tones/350475625.WAV
31.312	4.443	4	1	1.571	Tones/875.WAV	Tones/875.WAV
35.755	4.442	4	1	1.549	Tones/525.WAV	Tones/525.WAV
40.197	4.443	0	1	0.275	Tones/nullsilence.WAV	Tones/nullsilence.WAV
44.64	4.443	1	1	1.581	Semantic/web.WAV	Semantic/spider.WAV
49.083	4.443	2	1	1.428	Semantic/dig.WAV	Semantic/shovel.WAV
53.526	4.443	0	1	2.098	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.969	4.443	3	1	1.517	Semantic/trade.WAV	Semantic/square.WAV
62.412	4.442	5	0	n/a	Tones/325575725.WAV	Tones/325500725.WAV
66.854	4.443	1	1	1.554	Semantic/murder.WAV	Semantic/kill.WAV
71.297	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
75.74	4.443	1	1	1.045	Semantic/trash.WAV	Semantic/garbage.WAV
80.183	4.443	0	1	1.981	Tones/nullsilence.WAV	Tones/nullsilence.WAV
84.626	4.443	1	1	1.494	Semantic/tall.WAV	Semantic/short.WAV
89.069	4.442	0	1	0.726	Tones/nullsilence.WAV	Tones/nullsilence.WAV
93.511	4.443	2	0	1.76	Semantic/raisin.WAV	Semantic/prune.WAV
97.954	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
102.397	4.443	1	1	2.506	Semantic/baggage.WAV	Semantic/luggage.WAV
106.84	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
111.283	4.443	2	1	2.567	Semantic/picture.WAV	Semantic/painting.WAV
115.726	4.442	2	1	1.37	Semantic/truth.WAV	Semantic/honest.WAV
120.168	4.443	0	1	1.821	Tones/nullsilence.WAV	Tones/nullsilence.WAV
124.611	4.443	3	0	3.139	Semantic/gently.WAV	Semantic/ceiling.WAV
129.054	4.443	0	1	1.396	Tones/nullsilence.WAV	Tones/nullsilence.WAV
133.497	4.443	4	1	1.884	Tones/425.WAV	Tones/425.WAV
137.94	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
142.383	4.443	1	1	2.04	Semantic/buyer.WAV	Semantic/seller.WAV
146.826	4.442	1	1	1.416	Semantic/insect.WAV	Semantic/bug.WAV
151.268	4.443	2	1	1.467	Semantic/cactus.WAV	Semantic/prickly.WAV
155.711	4.443	0	1	2.204	Tones/nullsilence.WAV	Tones/nullsilence.WAV
160.154	4.443	1	1	1.747	Semantic/big.WAV	Semantic/small.WAV
164.597	4.443	0	1	1.799	Tones/nullsilence.WAV	Tones/nullsilence.WAV
169.04	4.443	3	0	2.521	Semantic/stack.WAV	Semantic/chef.WAV
173.483	4.442	0	1	1.852	Tones/nullsilence.WAV	Tones/nullsilence.WAV
177.925	4.443	3	1	2.399	Semantic/headed.WAV	Semantic/thirty.WAV
182.368	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
186.811	4.443	1	1	1.901	Semantic/summer.WAV	Semantic/winter.WAV
191.254	4.443	4	1	2.395	Tones/400.WAV	Tones/400.WAV
195.697	4.443	0	1	1.234	Tones/nullsilence.WAV	Tones/nullsilence.WAV
200.14	4.442	1	1	1.452	Semantic/itch.WAV	Semantic/scratch.WAV
204.582	4.443	4	1	1.853	Tones/500.WAV	Tones/500.WAV
209.025	4.443	3	0	1.5	Semantic/turtle.WAV	Semantic/boom.WAV
